a0410b,a0410c,a0410d,a0410e,a0410f,a0502a,a0502c,a0502d,a0410a,a0404,a0405aa,a0405b,a0406,A0408A,A0408B,A0408C,A0408D,A0408E,a0409,a0409a,a0405m,a0405a,edad,sexo
2,2,2,2,2,2,2,2,2,1,2,0,2,1,0,0,0,0,3,1,2,0,37,2
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,2,4,6,0,45,1
2,2,2,2,2,2,2,2,2,1,1,1,5,5,0,0,0,0,5,0,11,1,55,2
2,2,2,2,2,2,2,2,1,1,1,1,12,1,2,0,0,0,3,12,11,5,53,2
2,2,2,2,2,2,2,2,2,1,2,0,0,5,0,0,0,0,3,12,0,14,52,2
2,2,2,2,2,2,2,2,2,2,0,0,1,5,0,0,0,0,3,13,0,0,49,1
2,2,2,2,2,2,2,2,2,1,2,0,2,5,0,0,0,0,3,1,0,1,34,1
2,2,2,2,2,2,2,2,2,1,2,0,5,5,0,0,0,0,3,1,0,10,57,2
2,2,2,2,2,2,2,2,2,1,2,0,0,2,0,0,0,0,3,12,11,9,49,1
2,2,2,2,2,2,2,2,2,1,2,0,12,1,2,3,0,0,3,12,11,14,34,2
2,2,2,2,2,2,2,2,2,1,1,1,12,5,0,0,0,0,3,12,0,10,64,1
2,2,2,1,2,2,2,2,2,1,1,2,1,5,0,0,0,0,3,2,0,1,39,1
2,2,2,2,2,2,2,2,1,2,0,0,0,5,0,0,0,0,5,0,0,0,46,2
1,1,1,1,1,1,1,2,2,1,1,3,6,5,0,0,0,0,3,6,11,9,71,1
2,2,2,2,2,2,2,2,2,1,1,1,12,5,0,0,0,0,3,12,0,1,48,2
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,3,7,0,0,25,2
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,5,0,0,0,53,1
2,2,2,2,2,2,2,2,2,2,0,0,0,5,0,0,0,0,5,0,0,0,50,1
2,2,2,2,2,2,2,2,2,1,2,0,12,1,2,0,0,0,3,1,0,23,82,2
2,2,1,2,2,2,2,2,2,1,1,4,0,2,0,0,0,0,1,2,10,10,60,2
